Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,0,1,3,1,4,0,2,1,3,0,2,0
Bayern,0,0,1,2,3,4,3,4,15,0,0,1
Berlin,0,0,0,3,9,2,8,5,13,0,0,0
Brandenburg,0,0,8,29,92,21,119,120,86,10,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,1,6,11,5,7,18,12,0,0,0
Mecklenburg-Vorpommern,0,0,0,9,17,5,24,21,15,0,0,0
Niedersachsen,0,0,5,7,8,9,46,44,15,1,0,0
Nordrhein-Westfalen,0,0,2,7,4,4,5,3,6,0,0,0
Rheinland-Pfalz,0,0,0,0,1,5,17,23,19,0,0,0
Saarland,0,0,0,1,2,1,0,0,0,0,0,0
Sachsen,0,0,0,2,17,2,3,9,15,1,0,0
Sachsen-Anhalt,0,0,0,3,17,5,47,43,31,0,0,0
Schleswig-Holstein,0,0,0,0,0,0,3,4,1,0,0,0
Thueringen,0,0,0,0,0,0,5,3,4,1,1,0
Frueheres Bundesgebiet,0,1,12,27,42,30,91,102,84,1,2,1
Neue Laender,0,0,8,43,143,33,198,196,151,12,1,0
Deutschland,0,1,20,70,185,63,289,298,235,13,3,1
