Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,"3,0","2,6","17","5,6"
Bayern,"11,0","5,0","33","16,0"
Berlin,"6,7","2,5","40","9,2"
Brandenburg,"123,5","29,8","485","153,3"
Bremen,"0,0","0,0","0","0,0"
Hamburg,"0,0","0,0","0","0,0"
Hessen,"8,2","1,4","60","9,6"
Mecklenburg-Vorpommern,"32,3","5,1","91","37,4"
Niedersachsen,"63,5","3,3","135","66,8"
Nordrhein-Westfalen,"9,3","0,7","31","10,0"
Rheinland-Pfalz,"2,2","10,5","65","12,7"
Saarland,"1,1","0,5","4","1,6"
Sachsen,"19,4","4,9","49","24,3"
Sachsen-Anhalt,"57,2","9,7","146","66,9"
Schleswig-Holstein,"0,7","0,3","8","1,0"
Thüringen,"0,3","0,0","14","0,3"
Früheres Bundesgebiet,"105,8","26,6","393","132,4"
Neue Länder,"232,7","49,5","785","282,2"
Deutschland,"338,5","76,2","1.178","414,7"
