Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,"3,8","1,4","10","5,1"
Bayern,"29,8","24,7","76","54,5"
Berlin,"2,3","0,0","19","2,3"
Brandenburg,"104,7","16,5","224","121,1"
Bremen,"0,0","0,0","0","0,0"
Hamburg,"0,0","0,0","0","0,0"
Hessen,"1,1","2,6","16","3,6"
Mecklenburg-Vorpommern,"14,4","2,0","32","16,4"
Niedersachsen,"14,7","0,5","24","15,2"
Nordrhein-Westfalen,"1,6","1,2","22","2,8"
Rheinland-Pfalz,"8,0","5,0","35","13,0"
Saarland,"1,3","2,4","16","3,7"
Sachsen,"10,0","1,6","70","11,6"
Sachsen-Anhalt,"8,9","2,6","47","11,5"
Schleswig-Holstein,"0,1","0,0","2","0,1"
Thüringen,"4,5","8,9","33","13,4"
Früheres Bundesgebiet,"62,6","37,8","220","100,4"
Neue Länder,"142,4","31,6","406","173,9"
Deutschland,"205,0","69,4","626","274,3"
