Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,0,1,5,2,2,1,2,0,0,0,0
Bayern,0,0,5,4,5,0,2,0,1,0,0,0
Berlin,0,2,0,2,1,0,1,1,0,0,0,0
Brandenburg,0,2,12,30,28,32,42,42,28,1,0,0
Bremen,0,0,0,1,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,0,3,2,1,0,0,1,0,0,0
Mecklenburg-Vorpommern,0,0,0,5,1,3,3,3,3,2,0,0
Niedersachsen,0,0,2,12,6,4,0,1,10,0,1,0
Nordrhein-Westfalen,0,0,7,3,1,4,0,0,0,1,0,0
Rheinland-Pfalz,0,0,1,10,8,19,8,13,5,1,0,0
Saarland,0,1,2,1,1,0,2,0,0,0,0,0
Sachsen,3,0,1,6,4,15,12,2,4,0,0,0
Sachsen-Anhalt,0,0,1,21,1,11,0,2,8,0,0,0
Schleswig-Holstein,0,0,0,0,0,1,0,0,0,0,0,0
Thüringen,,,00060,,,1,4,1,2,1,0,0
Früheres Bundesgebiet,0,3,18,41,26,31,14,17,17,2,1,0
Neue Länder,3,2,14,68,34,62,61,50,45,4,0,0
Deutschland,3,5,32,109,60,93,75,67,62,6,1,0
