Land,Nadelholz Flaeche (ha),Laubholz Flaeche (ha),"Zusammen Anzahl",Zusammen Flaeche (ha)
Baden-Wuerttemberg,"2.4","3.3","19","5.7"
Bayern,"34.1","6.4","84","40.5"
Berlin,"4.3","0.4","37","4.7"
Brandenburg,"68.1","30.1","418","98.1"
Bremen,"0.0","0.0","0","0.0"
Hamburg,"0.0","0.0","0","0.0"
Hessen,"7.7","4.2","40","11.9"
Mecklenburg-Vorpommern,"4.9","1.6","31","6.5"
Niedersachsen,"12.0","1.2","102","13.2"
Nordrhein-Westfalen,"48.9","20.8","25","69.6"
Rheinland-Pfalz,"14.3","38.4","77","52.7"
Saarland,"0.6","2.8","5","3.4"
Sachsen,"47.3","2.2","69","49.5"
Sachsen-Anhalt,"24.4","10.5","101","34.9"
Schleswig-Holstein,"0.2","0.2","2","0.3"
Thueringen,"4.3","2.0","22","6.3"
Frueheres Bundesgebiet,"124.3","77.6","391","202.0"
Neue Laender,"148.9","46.4","641","195.4"
Deutschland,"273.3","124.1","1032","397.3"
