Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,"1,3","1,01","15","2,3"
Bayern,"7,8","5,9","40","13,7"
Berlin,"6,5","1,5","43","8,0"
Brandenburg,"139,9","22,2","458","162,1"
Bremen,"0,0","0,0","0","0,0"
Hamburg,"0,0","0,0","0","0,0"
Hessen,"30,3","3,5","107","33,7"
Mecklenburg-Vorpommern,"48,7","36,2","120","84,9"
Niedersachsen,"7,9","2,91","47","10,8"
Nordrhein-Westfalen,"2,2","1,01","45","3,1"
Rheinland-Pfalz,"0,6","2,5","9","3,0"
Saarland,"53,4","2,8","45","56,2"
Sachsen,"92,3","94,2","200","186,5"
Sachsen-Anhalt,"7,0","3,0","34","10,0"
Schleswig-Holstein,"1,51","0,1","14","1,6"
Thüringen,"1,3","1,01","15","2,3"
Früheres Bundesgebiet,"7,8","5,9","40","13,7"
Neue Länder,"6,5","1,5","43","8,0"
Deutschland,"139,9","22,2","458","162,1"
