Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,"6.6","13.3",57,"19.9"
Bayern,"34.7","8.4",61,"43.1"
Berlin,"1.5","0.0",2,"1.5"
Brandenburg,"62.8","15.0",241,"77.9"
Bremen,"0.0","0.0",0,"0.0"
Hamburg,"0.0","0.0",0,"0.0"
Hessen,"2.8","7.8",42,"10.5"
Mecklenburg-Vorpommern,"3.3","0.4",20,"3.7"
Niedersachsen,"60.3","9.3",57,"69.6"
Nordrhein-Westfalen,"1.2","0.5",21,"1.7"
Rheinland-Pfalz,"4.2","1.9",25,"6.1"
Saarland,"0.0","1.0",3,"1.0"
Sachsen,"4.1","10.1",82,"14.2"
Sachsen-Anhalt,"9.4","3.3",67,"12.7"
Schleswig-Holstein,"0.0","0.0",0,"0.0"
Thüringen,"5.1","1.6",23,"6.7"
Früheres Bundesgebiet,"111.4","42.0",268,"153.4"
Neue Länder,"84.7","30.5",433,"115.2"
Deutschland,"196.1","72.5",701,"268.6"
