Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,0,0,0,1,0,3,4,1,1,0,0,0
Bayern,0,0,1,6,7,15,4,0,0,0,0,0
Berlin,1,0,0,6,0,5,3,1,3,0,0,0
Brandenburg,0,0,6,62,35,53,17,1,11,0,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,2,1,1,1,0,3,1,1,0,0
Mecklenburg-Vorpommern,0,0,1,22,3,7,8,1,0,0,0,0
Niedersachsen,0,0,2,5,2,4,4,3,0,0,0,0
Nordrhein-Westfalen,0,0,0,4,5,5,0,2,0,0,1,0
Rheinland-Pfalz,0,0,0,1,1,4,1,1,2,0,0,0
Saarland,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,0,0,1,12,10,9,4,3,4,6,1,0
Sachsen-Anhalt,0,0,2,14,6,32,11,1,17,2,0,0
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0
Thueringen,0,0,0,2,4,4,0,1,1,2,1,0
Frueheres Bundesgebiet,1,0,5,24,16,37,16,11,7,1,1,0
Neue Laender,0,0,10,112,58,105,40,7,33,10,2,0
Deutschland,1,0,15,136,74,142,56,18,40,11,3,0
