Land,Nadelholz Flaeche (ha),Laubholz Flaeche (ha),"Zusammen Anzahl",Zusammen Flaeche (ha)
Baden-Württemberg,"4.6","2 ,1",18,"6.7"
Bayern,"23.1","11.1",102,"34.2"
Berlin,"1.0","0 ,1",9,"1.1"
Brandenburg,"202.7","95.6",253,"298.3"
Bremen,"0.0","0 ,0",0,"0.0"
Hamburg,"0.0","0 ,0",0,"0.0"
Hessen,"0.5","0 ,6",26,"1.1"
Mecklenburg-Vorpommern,"5.7","0 ,7",28,"6.5"
Niedersachsen,"57.8","11.4",131,"69.2"
Nordrhein-Westfalen,"7.8","0 ,0",24,"7.8"
Rheinland-Pfalz,"7.7","7 ,2",21,"14.9"
Saarland,"0.0","3 ,0",1,"3.0"
Sachsen,"14.1","2 ,6",77,"16.7"
Sachsen-Anhalt,"27.8","33.4",70,"61.2"
Schleswig-Holstein,"0.4","0 ,0",3,"0.4"
Thüringen,"0.4","0 ,5",17,"0.9"
Frueheres Bundesgebiet,"102.8","35.6",335,"138.3"
Neue Laender,"250.7","132.9",445,"383.6"
Deutschland,"353.5","168,4",780,"521.9"
