Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Württemberg,0,0,0,0,0,0,6,5,2,0,0,0
Bayern,0,0,2,5,12,1,6,7,0,0,0,0
Berlin,0,0,0,1,4,2,2,0,0,0,0,0
Brandenburg,1,2,1,17,78,36,87,33,2,1,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0
Hessen,0,0,0,2,2,1,6,9,1,0,0,0
Mecklenburg-Vorpommern,0,0,0,2,9,1,12,2,0,0,0,0
Niedersachsen,0,0,0,0,15,16,8,3,0,0,1,0
Nordrhein-Westfalen,0,0,0,0,2,2,7,4,0,0,0,0
Rheinland-Pfalz,0,0,0,0,5,5,8,7,0,0,0,0
Saarland,0,0,0,0,0,0,0,1,0,0,0,0
Sachsen,0,0,0,3,26,9,9,11,0,1,1,0
Sachsen-Anhalt,0,1,0,2,29,9,17,9,1,0,0,0
Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0
Thüringen,0,0,1,0,2,5,3,4,0,0,0,0
Frueheres Bundesgebiet,0,0,2,8,40,27,43,36,3,0,1,0
Neue Laender,1,3,2,24,144,60,128,59,3,2,1,0
Deutschland,1,3,4,32,184,87,171,95,6,2,2,0
