Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Württemberg,"25.7","4.8","33","30.4"
Bayern,"73.5","6.5","96","80.0"
Berlin,"14.2","4.7","69","18.9"
Brandenburg,"155.0","31.7","608","186.7"
Bremen,"0.0","0.0","0","0.0"
Hamburg,"0.0","0.0","0","0.0"
Hessen,"9.7","7.5","95","17.2"
Mecklenburg-Vorpommern,"34.4","15.0","122","49.3"
Niedersachsen,"12.0","6.6","90","18.6"
Nordrhein-Westfalen,"9.2","3.8","40","13.0"
Rheinland-Pfalz,"8.0","24.0","55","32.0"
Saarland,"3.2","13.7","19","16.9"
Sachsen,"21.0","6.7","36","27.7"
Sachsen-Anhalt,"48.1","48.0","155","96.0"
Schleswig-Holstein,"2.4","2.8","14","5.2"
Thüringen,"5.8","1.3","35","7.1"
Früheres Bundesgebiet,"157.9","74.3","511","232.2"
Neue Länder,"264.2","102.6","956","366.8"
Deutschland,"422.1","176.9","1467","599.0"
