Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wuerttemberg,"0.0","0.0","1.8","2.1","21.6","0.8","0.0","0.6","3.4","0.2","0.0","0.0"
Bayern,"0.0","0.1","4.1","33.4","13.5","7.2","0.0","13.2","6.3","2.2","0.0","0.0"
Berlin,"0.0","0.8","0.1","4.6","5.6","6.4","0.1","0.9","0.0","0.0","0.3","0.1"
Brandenburg,"0.0","1.7","28.3","25.4","25.7","43.1","21.9","29.7","8.1","2.9","0.0","0.1"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","1.6","8.9","0.0","1.9","0.1","3.9","0.5","0.3","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","6.4","31.8","0.2","0.5","1.4","8.4","0.4","0.4","0.0","0.0"
Niedersachsen,"0.0","0.0","1.6","5.2","3.3","4.4","0.3","3.8","0.1","0.0","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.6","1.0","1.7","3.1","1.6","4.5","0.4","0.2","0.0","0.0"
Rheinland-pfalz,"0.0","0.0","21.5","4.0","2.3","0.6","1.1","1.8","0.6","0.1","0.0","0.0"
Saarland,"0.0","0.0","0.0","13.1","0.2","0.6","0.7","1.2","0.0","1.0","0.0","0.0"
Sachsen,"0.0","0.0","8.8","7.2","3.5","1.7","0.3","5.8","0.1","0.0","0.3","0.0"
Sachsen-Anhalt,"0.0","0.4","3.0","55.5","1.8","6.7","15.4","10.3","1.6","1.3","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","2.7","1.1","0.0","0.5","0.3","0.5","0.0","0.0","0.0","0.0"
Thueringen,"0.0","0.0","1.0","1.2","0.0","3.7","0.1","0.1","0.0","1.1","0.0","0.0"
Frueheres Bundesgebiet,"0.0","0.9","34.0","73.5","48.1","25.2","4.2","30.4","11.4","4.0","0.3","0.1"
Neue Laender,"0.0","2.1","47.4","121.0","31.1","55.6","39.1","54.2","10.2","5.7","0.3","0.1"
Deutschland,"0.0","3.0","81.4","194.5","79.2","80.9","43.3","84.6","21.6","9.7","0.6","0.2"
