Land,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Baden-Wurttemberg,"0.0","0.0","0.3","6.2","0.1","1.5","0.0","0.3","0.1","0.0","0.0","0.0"
Bayern,"0.0","0.0","1.6","6.6","0.0","1.3","0.0","1.6","0.0","0.0","0.0","0.0"
Berlin,"0.0","0.0","0.0","1.0","0.0","0.0","0.0","4.4","0.0","0.0","0.0","0.0"
Brandenburg,"0.0","0.0","0.3","53.5","9.1","3.8","0.7","22.7","1.6","0.0","0.0","0.0"
Bremen,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hamburg,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Hessen,"0.0","0.0","0.7","1.3","0.1","0.0","0.1","0.2","0.0","0.0","0.0","0.0"
Mecklenburg-Vorpommern,"0.0","0.0","0.0","2.7","1.5","0.2","0.4","1.5","1.6","0.0","0.0","0.0"
Niedersachsen,"0.0","0.0","0.0","14.7","4.6","4.1","2.6","22.0","3.0","0.0","0.0","0.0"
Nordrhein-Westfalen,"0.0","0.0","0.0","7.0","12.0","0.0","1.9","0.1","0.0","0.0","0.0","0.0"
Rheinland-pfalz,"0.0","0.0","0.0","3.3","0.3","0.0","1.1","0.0","1.1","1.1","0.0","0.0"
Saarland,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Sachsen,"0.0","0.0","0.0","13.2","2.5","0.0","0.0","1.1","0.8","0.0","0.0","0.0"
Sachsen-Anhalt,"0.0","0.0","0.0","1.6","0.7","0.3",",7","5.3","26.7","0.0","0.0","0.0"
Schleswig-Holstein,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
Thuringen,"0.0","0.0","0.0","2.6","0.0","0.0","0.0","0.2","0.1","0.0","0.0","0.0"
Fruheres Bundesgebiet,"0.0","0.0","2.6","40.0","16.9","6.9","5.6","28.5","4.3","1,","0.0","0.0"
Neue Lander,"0.0","0.0","0.3","73.6","13.9","4.3","2.8","30.7","30.8","0.0","0.0","0.0"
Deutschland,"0.0","0.0","2.9","113.6","30.8","11.2","8.4","59.2","35.0","1.1","0.0","0.0"
