Land,Nadelholz Fläche (ha),Laubholz Fläche (ha),"Zusammen Anzahl ",Zusammen Fläche (ha)
Baden-Wurttemberg,"2,0","5,6",18,"7,5"
Bayern,"23,6","19,6",42,"43,2"
Berlin,"4,8","0,5",19,"5,2"
Brandenburg,"208,6","156,4",340,"365,0"
Bremen,"0,0","0,0",0,"0,0"
Hamburg,"0,0","0,0",0,"0,0"
Hessen,"1,4","0,3",20,"1,7"
[Mecklenburg-Vorpommern,"25,7","7,0",48,"32,6"
Niedersachsen,"14,9","2,7",129,"17,6"
Nordrhein-Westfalen,"2,6","0,2",18,"2,8"
Rheinland-Pfalz,"1,0","0,3",15,"1,3"
Saarland,"0,0","0,0",0,"0,0"
Sachsen,"21,6","20,6",69,"42,2"
Sachsen-Anhalt,"10,5","1,7",76,"12,2"
Schleswig-Holstein,"0,5","5,5",5,"5,9"
Thuringen,"1,2","0,1",19,"1,3"
Fruheres Bundesgebiet,"50,7","34,6",266,"85,2"
Neue Lander,"267,5","185,7",552,"453,3"
Deutschland,"318,2","220,3",818,"538,5"
